Sigma,MC,Individual,X,Y,Hypothesis
0.0,0,0,-3.0,8.0,marker
0.0,0,0,-3.0,8.0,expansion
0.0,0,0,-3.0,8.0,marker
0.0,0,0,-3.0,8.0,expansion
0.0,0,0,-3.0,8.0,marker
0.0,0,0,-3.0,8.0,expansion
0.0,0,0,-3.0,8.0,marker
0.0,0,0,-3.0,8.0,expansion
0.0,0,0,-3.0,8.0,marker
0.0,0,0,-3.0,8.0,expansion
0.0,0,1,-3.0,8.0,marker
0.0,0,1,-3.0,8.0,expansion
0.0,0,1,-3.0,8.0,marker
0.0,0,1,-3.0,8.0,expansion
0.0,0,1,-3.0,8.0,marker
0.0,0,1,-3.0,8.0,expansion
0.0,0,1,-3.0,8.0,marker
0.0,0,1,-3.0,8.0,expansion
0.0,0,1,-3.0,8.0,marker
0.0,0,1,-3.0,8.0,expansion
0.0,0,2,-3.0,8.0,marker
0.0,0,2,-3.0,8.0,expansion
0.0,0,2,-3.0,8.0,marker
0.0,0,2,-3.0,8.0,expansion
0.0,0,2,-3.0,8.0,marker
0.0,0,2,-3.0,8.0,expansion
0.0,0,2,-3.0,8.0,marker
0.0,0,2,-3.0,8.0,expansion
0.0,0,2,-3.0,8.0,marker
0.0,0,2,-3.0,8.0,expansion
0.0,0,3,-3.0,8.0,marker
0.0,0,3,-3.0,8.0,expansion
0.0,0,3,-3.0,8.0,marker
0.0,0,3,-3.0,8.0,expansion
0.0,0,3,-3.0,8.0,marker
0.0,0,3,-3.0,8.0,expansion
0.0,0,3,-3.0,8.0,marker
0.0,0,3,-3.0,8.0,expansion
0.0,0,3,-3.0,8.0,marker
0.0,0,3,-3.0,8.0,expansion
0.0,0,4,-3.0,8.0,marker
0.0,0,4,-3.0,8.0,expansion
0.0,0,4,-3.0,8.0,marker
0.0,0,4,-3.0,8.0,expansion
0.0,0,4,-3.0,8.0,marker
0.0,0,4,-3.0,8.0,expansion
0.0,0,4,-3.0,8.0,marker
0.0,0,4,-3.0,8.0,expansion
0.0,0,4,-3.0,8.0,marker
0.0,0,4,-3.0,8.0,expansion
0.0,0,5,-3.0,8.0,marker
0.0,0,5,-3.0,8.0,expansion
0.0,0,5,-3.0,8.0,marker
0.0,0,5,-3.0,8.0,expansion
0.0,0,5,-3.0,8.0,marker
0.0,0,5,-3.0,8.0,expansion
0.0,0,5,-3.0,8.0,marker
0.0,0,5,-3.0,8.0,expansion
0.0,0,5,-3.0,8.0,marker
0.0,0,5,-3.0,8.0,expansion
0.0,0,6,-3.0,8.0,marker
0.0,0,6,-3.0,8.0,expansion
0.0,0,6,-3.0,8.0,marker
0.0,0,6,-3.0,8.0,expansion
0.0,0,6,-3.0,8.0,marker
0.0,0,6,-3.0,8.0,expansion
0.0,0,6,-3.0,8.0,marker
0.0,0,6,-3.0,8.0,expansion
0.0,0,6,-3.0,8.0,marker
0.0,0,6,-3.0,8.0,expansion
0.0,0,7,-3.0,8.0,marker
0.0,0,7,-3.0,8.0,expansion
0.0,0,7,-3.0,8.0,marker
0.0,0,7,-3.0,8.0,expansion
0.0,0,7,-3.0,8.0,marker
0.0,0,7,-3.0,8.0,expansion
0.0,0,7,-3.0,8.0,marker
0.0,0,7,-3.0,8.0,expansion
0.0,0,7,-3.0,8.0,marker
0.0,0,7,-3.0,8.0,expansion
0.0,0,8,-3.0,8.0,marker
